exchange_timestamp,mid_price,ask_price_1,ask_qty_1,bid_price_1,bid_qty_1,ask_price_2,ask_qty_2,bid_price_2,bid_qty_2,ask_price_3,ask_qty_3,bid_price_3,bid_qty_3,ask_price_4,ask_qty_4,bid_price_4,bid_qty_4,ask_price_5,ask_qty_5,bid_price_5,bid_qty_5,ask_price_6,ask_qty_6,bid_price_6,bid_qty_6,ask_price_7,ask_qty_7,bid_price_7,bid_qty_7,ask_price_8,ask_qty_8,bid_price_8,bid_qty_8,ask_price_9,ask_qty_9,bid_price_9,bid_qty_9,ask_price_10,ask_qty_10,bid_price_10,bid_qty_10
1784626302393000000,0.07350500000000001,0.07351,637193,0.0735,869085,0.07352,1722214,0.07349,1412081,0.07353,1732672,0.07348,2009074,0.07354,919982,0.07347,1996613,0.07355,1374860,0.07346,1924076,0.07356,756065,0.07345,1357615,0.07357,969076,0.07344,1093146,0.07358,1152994,0.07343,1246957,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
1784626302486000000,0.07350500000000001,0.07351,637193,0.0735,869085,0.07352,1722214,0.07349,1412081,0.07353,1732672,0.07348,2014590,0.07354,919982,0.07347,2034178,0.07355,1374860,0.07346,1924076,0.07356,756065,0.07345,1357615,0.07357,969076,0.07344,1093146,0.07358,1152994,0.07343,1246957,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
1784626302622000000,0.07350500000000001,0.07351,637344,0.0735,931826,0.07352,1722214,0.07349,1412081,0.07353,1732672,0.07348,2014590,0.07354,919982,0.07347,2034178,0.07355,1374860,0.07346,1924076,0.07356,756065,0.07345,1357615,0.07357,969076,0.07344,1093146,0.07358,1152994,0.07343,1246957,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
1784626302719000000,0.07350500000000001,0.07351,637419,0.0735,935439,0.07352,1722214,0.07349,1412081,0.07353,1732672,0.07348,2014590,0.07354,919982,0.07347,2034248,0.07355,1374860,0.07346,1924076,0.07356,756065,0.07345,1357615,0.07357,969076,0.07344,1093146,0.07358,1152994,0.07343,1246957,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
1784626302858000000,0.07350500000000001,0.07351,625419,0.0735,931264,0.07352,1722284,0.07349,1412151,0.07353,1732672,0.07348,2014590,0.07354,919982,0.07347,2034248,0.07355,1374860,0.07346,1924076,0.07356,756065,0.07345,1357615,0.07357,969076,0.07344,1093146,0.07358,1152994,0.07343,1246957,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
1784626303013000000,0.07350500000000001,0.07351,625419,0.0735,931662,0.07352,1722284,0.07349,1412151,0.07353,1732673,0.07348,2014590,0.07354,919982,0.07347,2031748,0.07355,1374860,0.07346,1926576,0.07356,756065,0.07345,1357615,0.07357,969076,0.07344,1093146,0.07358,1152994,0.07343,1246957,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
1784626303114000000,0.07350500000000001,0.07351,625419,0.0735,931662,0.07352,1722284,0.07349,1412335,0.07353,1732673,0.07348,2025698,0.07354,919982,0.07347,2031748,0.07355,1374860,0.07346,1926576,0.07356,756065,0.07345,1357615,0.07357,969076,0.07344,1082042,0.07358,1152994,0.07343,1247026,0.07359,693004,0.07342,968923,0.0736,2709862,0.07341,1538450
1784626303275000000,0.07350500000000001,0.07351,625419,0.0735,931662,0.07352,1722284,0.07349,1404175,0.07353,1732743,0.07348,2025698,0.07354,928144,0.07347,2031750,0.07355,1374860,0.07346,1926576,0.07356,764227,0.07345,1357617,0.07357,960916,0.07344,1082042,0.07358,1152996,0.07343,1255188,0.07359,693004,0.07342,968923,0.0736,2701702,0.07341,1538450
1784626303603000000,0.07350500000000001,0.07351,639098,0.0735,929570,0.07352,1722284,0.07349,1404175,0.07353,1732743,0.07348,1997996,0.07354,928205,0.07347,2002244,0.07355,1374860,0.07346,1926576,0.07356,764227,0.07345,1357617,0.07357,960916,0.07344,1082042,0.07358,1152996,0.07343,1255197,0.07359,693004,0.07342,968923,0.0736,2701702,0.07341,1538450
1784626303747000000,0.07350500000000001,0.07351,701090,0.0735,816224,0.07352,1722284,0.07349,1294175,0.07353,1732743,0.07348,1997996,0.07354,928205,0.07347,2002244,0.07355,1374860,0.07346,1926576,0.07356,764227,0.07345,1357617,0.07357,960916,0.07344,1080340,0.07358,1152996,0.07343,1255197,0.07359,693004,0.07342,968923,0.0736,2701702,0.07341,1538450
